domain,tld,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ctx_risk_score,is_ml_paradox,ai_risk_factors,ai_reasoning,correct
metamaskt.cc,cc,0.1897389,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'metamaskt.cc' has a dangerous TLD (cc) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.65, and there is no brand detection. The ML probability (0.1897) is low, and the domain does not exhibit a ra",True
provinciaringreso.online,online,0.19558156,1,0,0.75,medium,0.3225,False,"['mitigated:dangerous_tld', 'mitigated:ml_paradox_medium']","The domain 'provinciaringreso.online' has a dangerous TLD ('online') and a low ML probability (0.1956), but the contextual risk score (0.3225) is below the 0.65 threshold for automatic phishing detection. The tool signals show no brand detection, no valid certificate (has_cert: false), and a dangero",False
selcuksportshd1451.xyz,xyz,0.14128333,0,0,0.75,medium,0.3458333333333333,False,"['mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain 'selcuksportshd1451.xyz' has a dangerous TLD (xyz) and shows a random pattern with high entropy (3.79) and low vowel ratio (0.17), which are risk factors. However, the contextual risk score (0.346) is below 0.50, and there is no brand detection. The ML probability (0.14) is low, and the a",True
fzghak.cn,cn,0.16311844,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'fzghak.cn' has a short length (6 characters), dangerous TLD (.cn), and shows signs of random pattern with low vowel ratio (0.17). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.16) is low, and the certificate is a free CA w",True
0dveg1.xyz,xyz,0.23815282,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigat","The domain 0dveg1.xyz has a dangerous TLD (xyz) and shows signs of being short and random (6 characters, low vowel ratio, high entropy). However, the contextual risk score (0.42) is below 0.65, and there is no brand detection. The ML probability (0.238) is below 0.25, so we must be conservative. The",True
velo-pro.shop,shop,0.16575417,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'velo-pro.shop' has a dangerous TLD (shop) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.1657) is low, and the do",False
g4w.top,top,0.108498946,1,1,0.75,high,0.4941666666666667,True,"['policy:R1', 'mitigated:very_short', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:very_short_dangerous_combo', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_c","The domain 'g4w.top' has a very short length (3 characters), dangerous TLD (.top), and shows signs of random pattern with low vowel ratio (0.0). However, the contextual risk score (0.494) is below 0.65, and there is no brand detection. The ml_probability (0.108) is low, and the domain is not in a br",True
babyou.cn,cn,0.24763957,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'babyou.cn' has a dangerous TLD (cn) and is short (6 characters), but no brand elements were detected. The ML probability is 0.2476, which is below 0.25, and the contextual risk score is 0.42, which is below 0.65. The tool signals indicate a free CA certificate (Let's Encrypt) with no org",True
zkxyiji.cn,cn,0.25456417,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'zkxyiji.cn' has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.42) is below 0.50 and the ML probability (0.254) is below 0.25. The absence of brand detection and the lac",True
allnull.cn,cn,0.06662647,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'allnull.cn' has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0666) is low, and the domain does",True
ojxrik.cn,cn,0.14218676,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short']","The domain 'ojxrik.cn' has a dangerous TLD (cn) and is short (6 characters), but lacks brand elements and has a free DV certificate from Let's Encrypt. The ML score (0.14) is low, and the contextual risk score (0.45) is below 0.65. While there are risk factors like dangerous_tld and short domain, th",True
benmtyty.top,top,0.28873095,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain 'benmtyty.top' has a dangerous TLD (.top) and shows signs of a random pattern (short, low entropy, high vowel ratio). However, the contextual risk score (0.42) is below 0.65, and there is no brand detection. The ML probability (0.288) is not high enough to trigger phishing without corrobo",True
modafinille.shop,shop,0.1625516,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'modafinille.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.16) is low, and the domain is not a random p",False
uspebxfu.top,top,0.18703535,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'uspebxfu.top' has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.187) is below 0.25, so we",True
vmoqz.cn,cn,0.22642882,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain vmoqz.cn has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.226) is below 0.25, so we are conservative. The free CA certificate (Google Trust Services",True
zhangbz.xyz,xyz,0.195966,0,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain zhangbz.xyz has a dangerous TLD (xyz) and shows a random pattern with low vowel ratio (0.14), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.196) is below 0.25 and the TLD category is dangerous, but the absence of strong brand im",False
disp.cc,cc,0.1742875,0,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:short', 'mitigated:dangerous_tld']","The domain 'disp.cc' has a short length (4 characters) and a dangerous TLD (.cc), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.174) is below 0.25, and the TLD category is 'unknown' (not dangerous). The 'dv_s",False
ads2.xyz,xyz,0.21350841,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'ads2.xyz' has a dangerous TLD (xyz) and is short (4 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.21) is below 0.25, and the TLD category is dangerous but not enough to trigger phishing",True
hco-bank.top,top,0.073807575,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain hco-bank.top has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with free CA and no organization. However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.0738) is low, and the domain does not exhibit",True
alpha-net.online,online,0.09872825,1,1,0.75,high,0.5908333333333333,True,"['ml_paradox', 'policy:brand_cert_high', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'alpha-net.online' has a contextual risk score of 0.59, which is below the 0.65 threshold for automatic phishing detection. While there are several risk factors including ml_paradox, dangerous_tld, free_ca, no_org, and dv_suspicious_combo, the presence of a legitimate Let's Encrypt certif",True
arjscl.cn,cn,0.110072404,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'arjscl.cn' has a short length (6 characters), dangerous TLD (.cn), and shows signs of random pattern with low vowel ratio (0.17). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.11) is low, and the certificate is a free DV c",True
bitconce.top,top,0.15483359,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain bitconce.top has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65 and there is no brand detection. The ml_probability (0.1548) is low and the domain d",True
pwrwmn.shop,shop,0.06983961,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'pwrwmn.shop' has a short length (6 characters), dangerous TLD ('shop' is categorized as dangerous), and shows signs of random pattern with very low vowel and digit ratios. However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.07) ",False
24hrsbet.top,top,0.117010735,0,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain 24hrsbet.top has a dangerous TLD (.top) and shows signs of a random pattern (high entropy, low vowel ratio), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.117) is low and does not meet the threshold for phishing. The risk factor",False
sbi-oc.top,top,0.23990323,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'sbi-oc.top' has a dangerous TLD ('top') and is short (6 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.2399) is below 0.25, and the TLD category is 'dangerous' but not a strong enough si",True
adsmeta.shop,shop,0.10965174,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'adsmeta.shop' has a dangerous TLD (shop) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score (0.436) is below 0.50, and there is no brand detection. The ml_probability (0.109) is low, and the domain do",False
topbahis.icu,icu,0.07915396,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'topbahis.icu' has a dangerous TLD (icu) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ML probability (0.079) is low, and the domai",False
yourvacancytoday.click,click,0.1709442,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'yourvacancytoday.click' has a dangerous TLD ('click') and a DV certificate from Let's Encrypt with no organization (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.17) is low, and the domain does not sho",True
nomorkeluarhariini.buzz,buzz,0.11799239,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'nomorkeluarhariini.buzz' has a dangerous TLD (buzz) and shows a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.4358, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.",False
redis.cn,cn,0.07437874,0,0,0.75,medium,0.31783333333333336,False,"['mitigated:dangerous_tld', 'mitigated:short']","The domain 'redis.cn' has a dangerous TLD (.cn) and is short (5 characters), but it is a legitimate domain associated with Redis, a well-known open-source database. The ML score (0.074) is very low, and the contextual risk score (0.318) is below 0.65. The 'ml_paradox_medium' issue indicates a low co",True
happyfamilystore24h.online,online,0.18752035,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'happyfamilystore24h.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization information, which are risk factors. However, the contextual risk score (0.4358) is below 0.65, and there is no brand detection. The ml_probability (0.1875) is below 0.",False
atenolola.online,online,0.11787273,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'atenolola.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ml_probability (0.1179) is low, and the domain doe",False
rybglutide.top,top,0.10415016,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain rybglutide.top has a dangerous TLD (.top) and shows a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.4358, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.104, which ",False
0bdypy5o.lat,lat,0.15552318,1,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain '0bdypy5o.lat' has a dangerous TLD (lat) and shows random pattern characteristics (high entropy, low vowel ratio), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.155) is below 0.25 and the TLD category is 'unknown', so the site i",True
luxurykellyss.shop,shop,0.076133735,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'luxurykellyss.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, but the contextual risk score (0.4358) is below 0.65. The ML probability (0.076) is low, and there are no detected brands. The risk factors 'dangerous_tld' and 'dv_suspicious_combo",False
smbc-cardnb.icu,icu,0.15833165,1,1,0.75,high,0.4766666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain smbc-cardnb.icu has a dangerous TLD (icu) and shows signs of a random pattern (high entropy, low vowel ratio), but the contextual risk score (0.477) is below the 0.65 threshold for automatic phishing detection. The ML probability (0.158) is low and does not meet the threshold for high con",True
vxxre.xyz,xyz,0.13017811,1,0,0.75,medium,0.31783333333333336,False,"['mitigated:dangerous_tld', 'mitigated:short']","The domain vxxre.xyz has a dangerous TLD (xyz) and is short (5 characters), which are risk factors. However, the contextual risk score (0.318) is below 0.50, and there is no brand detection. The ML probability (0.13) is low, and the domain does not show strong brand impersonation. The 'ml_paradox_me",False
aoem.shop,shop,0.18514448,1,0,0.75,medium,0.31783333333333336,False,"['mitigated:short', 'mitigated:dangerous_tld']","The domain 'aoem.shop' has a short length (4 characters) and a dangerous TLD ('shop'), which are risk factors. However, the contextual risk score (0.318) is below 0.50, and there is no brand detection. The ML probability (0.185) is below 0.25, and the TLD category is 'dangerous' but the precheck qui",False
edpillsfd.online,online,0.108510226,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'edpillsfd.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization (free_ca, no_org), which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.1085) is low, and the",False
taplink.cc,cc,0.15894079,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain taplink.cc has a dangerous TLD (cc) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.436, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.159 (very",False
g6ns7e.cn,cn,0.113488466,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'g6ns7e.cn' has a short length (6 characters), dangerous TLD (.cn), and shows random pattern characteristics with low vowel ratio (0.17) and high entropy (2.58). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.11) is low, and",True
8ujshg.lat,lat,0.08144185,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo']","The domain 8ujshg.lat has a low ML probability (0.081) and a contextual risk score of 0.47, which is below the 0.65 threshold for automatic phishing classification. While it shows several risk indicators like dangerous_tld (lat), short domain length (6 characters), random pattern, and short_random_c",True
x05l6ar335rh.lat,lat,0.112848155,1,0,0.75,low,0.3225,False,['mitigated:dangerous_tld'],"The domain 'x05l6ar335rh.lat' has a dangerous TLD (lat) but lacks brand elements and has no valid certificate. The ML score (0.11) is below 0.25 and the contextual risk score (0.32) is below 0.50. While the dangerous TLD is a risk factor, it is mitigated by the absence of a certificate and the low M",False
zozo2726.cc,cc,0.20338446,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain zozo2726.cc has a dangerous TLD (cc) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.20, which",True
kurmoekoyanato.cc,cc,0.21576273,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'kurmoekoyanato.cc' has a dangerous TLD (cc) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.2",True
atomizelink.icu,icu,0.07573584,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'atomizelink.icu' has a dangerous TLD (.icu) and a DV certificate from Let's Encrypt with no organization information, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0757) is low, and the domain doe",False
spincity-official.click,click,0.07125768,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'spincity-official.click' has a dangerous TLD ('click') and shows signs of a free CA certificate (Google Trust Services) with no organization information. However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ML probability (0.071) is low, and th",False
eshby.cn,cn,0.10342602,0,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'eshby.cn' has a dangerous TLD (.cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.103) is low, and the certificate is a free Let's Encrypt DV certificate with no organ",False
updoijw.top,top,0.26202667,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'updoijw.top' has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.42) is below 0.50, and there are no detected brands. The ml_probability (0.26) is below 0.25? Wait, no,",True
exteriorvenecos.shop,shop,0.092209354,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'exteriorvenecos.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, but the contextual risk score (0.436) is below 0.50. The ML probability (0.092) is low and there's no brand detection. While the DV certificate with free CA and no org is a risk ",True
neuroinsidertimes.shop,shop,0.08383261,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'neuroinsidertimes.shop' has a dangerous TLD (shop) and a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ml_probability (0.0838) is low, and the domain is no",False
fastlap.shop,shop,0.09490252,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'fastlap.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, but the contextual risk score (0.4358) is below 0.65. The ML probability (0.0949) is low, and there are no detected brands. The risk factors 'dangerous_tld' and 'dv_suspicious_combo' are",False
the-fapello.xyz,xyz,0.24003746,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca_no_org']","The domain 'the-fapello.xyz' has a dangerous TLD (xyz) and shows signs of a free CA certificate (ZeroSSL) with no organization information, which are common in phishing contexts. However, the contextual risk score (0.42) is below the 0.65 threshold for automatic phishing detection. The ML probabilit",False
syncswap.xyz,xyz,0.26158172,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain syncswap.xyz has a dangerous TLD (xyz) and shows a random pattern with low vowel ratio (0.12), but the contextual risk score (0.42) is below 0.50 and the ML probability (0.26) is below 0.25. The presence of a free CA certificate (Google Trust Services) with no organization information is ",False
cfbn.com.cn,cn,0.2011677,1,0,0.75,low,0.14885879833333332,False,"['mitigated:short', 'mitigated:random_pattern']","The domain cfbn.com.cn has a short length (4 characters) and shows a random pattern with 0 vowels and 0 digits, which are risk factors. However, the contextual risk score is 0.149 (below 0.50), and there are no strong non-ML signals like dangerous TLD, brand impersonation, or valid certificate. The ",False
hohorcu.top,top,0.26389104,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca_no_org']","The domain hohorcu.top has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.26, whi",True
cinov.cn,cn,0.060963847,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'cinov.cn' has a dangerous TLD (cn) and is short (5 characters), but lacks brand detection and has a free CA certificate with no organization. However, the contextual risk score (0.4475) is below 0.50, and the ML probability (0.06) is low. The presence of 'ml_paradox' and 'dv_suspicious_c",True
postnordtud.top,top,0.119361505,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'postnordtud.top' has a dangerous TLD (.top) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.65, and there is no brand detection. The ML probability (0.119) is low, and the domain does not exhibit ",True
galiciared.online,online,0.08699023,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'galiciared.online' has a dangerous TLD ('online') and a DV certificate from Let's Encrypt with no organization information (free_ca, no_org), which are risk factors. However, the contextual risk score (0.4358) is below 0.50 and the ML probability (0.0869) is low. The absence of brand det",True
gesfgeuuw.icu,icu,0.067659765,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'gesfgeuuw.icu' has a dangerous TLD (.icu) and a DV certificate from Let's Encrypt with no organization information, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0677) is low, and the domain does ",True
inktheshirta.cc,cc,0.11637498,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain inktheshirta.cc has a dangerous TLD (cc) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65 and there is no brand detection. The ml_probability (0.116) is low and the domain d",True
govee.icu,icu,0.108887576,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'govee.icu' has a dangerous TLD (.icu) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.1089) is low, and the presence of a free CA certificate (Let's Encrypt) with no org",True
photoniccrystal.cn,cn,0.14989422,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'photoniccrystal.cn' has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65 and there is no brand detection. The ml_probability (0.1499) is low and the do",True
acenmxcosexmeco.cc,cc,0.22225583,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:high_entropy', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'acenmxcosexmeco.cc' has a dangerous TLD (cc) and shows signs of being a random pattern with low vowel ratio (0.4) and high entropy (2.87), but the contextual risk score (0.42) is below 0.50 and there is no brand detection. The ML probability (0.22) is below 0.25 and the TLD category is '",True
sfvog.cn,cn,0.22969273,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short']","The domain 'sfvog.cn' has a dangerous TLD (cn) and is short (5 characters), but no brand elements were detected. The ML probability is 0.2297 (low category) and the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The tool signals indicate a free CA ",True
owtltigtp.cn,cn,0.14133607,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain owtltigtp.cn has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score is 0.4358, below the 0.65 threshold for automatic phishing detection. The ML probability is 0.14, which is low, ",True
